"In your first typing test using a KEYBOARD, what was your WPM result","In your first typing test using a KEYBOARD, what was your accuracy","In your second typing test using a KEYBOARD, what was your WPM result","In your second typing test using a KEYBOARD, what was your accuracy","In your third typing test using a KEYBOARD, what was your WPM result","In your third typing test using a KEYBOARD, what was your accuracy","In your first typing test using a MOBILE PHONE, what was your WPM result","In your first typing test using a MOBILE PHONE, what was your accuracy","In your second typing test using a MOBILE PHONE, what was your WPM result","In your second typing test using a MOBILE PHONE, what was your accuracy","In your third typing test using a MOBILE PHONE, what was your WPM result","In your third typing test using a MOBILE PHONE, what was your accuracy","For the typing tests using your MOBILE PHONE, you were asked to use touch typing",What type of mobile phone do you have,"What is the size of your MOBILE PHONE screen (from one corner to the opposite corner, so the length of the diagonal), in centimeters.","For your test using a real keyboard (NOT a mobile phone), which of these best describes the keyboard you used",How old are you,How often do you type on a computer keyboard,Are you a gamer,Do you play a keyboard instrument,Do you currently have a finger injury or other physical limitation(s) that might impact your typing on a KEYBOARD and/or on a MOBILE PHONE,Which of the following statements best describes your fluency in English,,,,,,,
44,92.12,52,90.88,52,93.57,47,95.12,45,90.04,48,93.41,Two fingers,iPhone,17.018,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",20,Every day or almost every day,No,Yes,No,Fully fluent in English,,,,,,136.4468,45.48226667
60,86.04,63,91.91,67,94.15,52,89.31,55,92.28,46,84.56,Two fingers,iPhone,17.02,"A mechanical keyboard, with raised keys (i.e. a keyboard that is not built in to a laptop, but that is either connected via a cable or bluetooth)",24,Every day or almost every day,Yes,No,No,Fully fluent in English,,,,,,172.6078,
84,94.31,87,94.19,88,90.37,52,85.34,52,84.09,53,81.9,Two fingers,iPhone,13.72 cm,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",20,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,240.6913,80.23043333
42WPM,86,52 WPM,95%,52 WPM,88%,22 WPM ,62%,27 WPM,68%,24 WPM,76%,Two fingers,Android,16.6 centimeters,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,No,No,Fully fluent in English,,,,,,,
36,86.19,47,89.39,41,77.53,46,97.02,48,93.73,53,97.8,Two fingers,iPhone,15.5,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,,
68,95.49,72,94.74,67,96.25,48,98.37,49,91.76,45,90.04,Two fingers,iPhone,15.39,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,Yes,No,No,Professional fluency in English,,,,,,,
35,92.67,28,81.76,38,90.82,36,94.76,35,86.93,36,91.28,Two fingers,iPhone,16.14,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,A few times per week,No,No,Yes,Conversational fluency in English,,,,,,,
49,91.76,47,91.45,53,97.08,33,95.38,34,86.43,37,98.41,Two fingers,iPhone,16.97,"A mechanical keyboard, with raised keys (i.e. a keyboard that is not built in to a laptop, but that is either connected via a cable or bluetooth)",24,Every day or almost every day,Yes,No,No,Conversational fluency in English,,,,,,,
26,99.25,30,94.38,30,95,18,98.89,21,100,24,100,Two fingers,Android,17.4,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,No,No,Conversational fluency in English,,,,,,,
44,85.99,56,96.89,50,92.59,43,86,43,91.56,50,97.28,Two fingers,iPhone,15,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,Yes,No,No,Fully fluent in English,,,,,,,
59,93.93,63,91.33,52,87.54,40,73.26,41,76.67,40,71.07,Two fingers,iPhone,15.5,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,Yes,No,Conversational fluency in English,,,,,,,
102,95.86,98,94.77,101,94.93,75,91.73,60,83.38,54,79.01,Two fingers,iPhone,15.494,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Fully fluent in English,,,,,,,
44,98,53,98,48,95,27,96,29,97,28,92,One finger,iPhone,length 14.67; width 7.15; depth 0.765,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,No,Yes,Professional fluency in English,,,,,,,
91,97,89,100,93,94,73,89,75,91,73,91,Two fingers,iPhone,6.1,"A mechanical keyboard, with raised keys (i.e. a keyboard that is not built in to a laptop, but that is either connected via a cable or bluetooth)",21,Every day or almost every day,Yes,No,No,Fully fluent in English,,,,,,,
58,87.84,62,92.28,59,84.93,38,91,43,93.94,42,90.56,Two fingers,Android,16.5,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,A few times per week,No,No,No,Professional fluency in English,,,,,,,
